cpf,nome_completo,data_nascimento,sexo,email_institucional,matricula,data_admissao,status_funcionario
14193141705,Isabela Souza Machado,1999-10-23,F,isabela.machado24@ifro.edu.br,IF202426937,2022-06-30,ativo
24023448347,Gustavo Ribeiro Gomes,1997-06-07,M,gustavo.gomes25@ifro.edu.br,IF202255482,2024-07-16,ativo
08838737167,Isabela Oliveira Silva,1999-06-28,F,isabela.silva26@ifro.edu.br,IF202238204,2021-11-24,ativo
26502014620,Karina Barbosa Machado,1978-10-16,F,karina.machado27@ifro.edu.br,IF202497889,2024-06-17,ativo
07224704558,Ursula Ribeiro Batista,1989-07-06,F,ursula.batista28@ifro.edu.br,IF202238556,2019-09-29,ativo
17483380141,Bruno Dias Cardoso,1981-06-15,M,bruno.cardoso29@ifro.edu.br,IF202061639,2021-06-25,ativo
19829657249,Leonardo Machado Rocha,2003-11-08,M,leonardo.rocha30@ifro.edu.br,IF202577237,2022-08-31,ativo
88909310025,Heloisa Campos Costa,1979-09-15,F,heloisa.costa31@ifro.edu.br,IF202416655,2021-03-23,ativo
74071881817,Vitória Rezende Ribeiro,1986-04-24,F,vitoria.ribeiro32@ifro.edu.br,IF202136898,2017-11-01,ativo
61740931925,Yuri Farias Castro,1986-05-23,M,yuri.castro33@ifro.edu.br,IF202549900,2024-04-22,inativo
07413748477,Elisa Silva Freitas,1995-12-02,F,elisa.freitas34@ifro.edu.br,IF202436116,2025-08-09,ativo
47187463319,Daniel Freitas Souza,1979-01-19,M,daniel.souza35@ifro.edu.br,IF202444315,2018-08-04,inativo
84153776020,Elisa Goncalves Machado,1997-01-20,F,elisa.machado36@ifro.edu.br,IF202349577,2024-08-23,ativo
51505561304,Nicole Teixeira Cardoso,1986-05-11,F,nicole.cardoso37@ifro.edu.br,IF202361139,2021-03-05,ativo
64041042346,Tatiane Pereira Correia,1997-12-02,F,tatiane.correia38@ifro.edu.br,IF202266065,2020-07-16,ativo
83106792470,Vitória Vieira Pinto,1999-09-04,F,vitoria.pinto39@ifro.edu.br,IF202364377,2019-02-07,ativo
63478612213,Leonardo Alves Alves,1997-06-15,M,leonardo.alves40@ifro.edu.br,IF202169373,2022-07-30,ativo
83312581535,Olivia Nunes Costa,1986-08-03,F,olivia.costa41@ifro.edu.br,IF202064104,2023-05-23,ativo
64507495288,Diego Tavares Carvalho,2003-03-30,M,diego.carvalho42@ifro.edu.br,IF202045523,2025-09-03,ativo
64020679701,Mariana Vieira Lima,1992-07-24,F,mariana.lima43@ifro.edu.br,IF202342566,2022-12-03,ativo
81718002390,Helena Rodrigues Rodrigues,2003-12-15,F,helena.rodrigues44@ifro.edu.br,IF202543003,2023-08-29,ativo
14893643900,Nicole Gomes Almeida,1999-02-10,F,nicole.almeida45@ifro.edu.br,IF202251465,2020-06-29,ativo
38306400376,Helena Freitas Tavares,1978-08-21,F,helena.tavares46@ifro.edu.br,IF202565616,2019-11-20,ativo
56563048137,Helena Castro Oliveira,1983-12-28,F,helena.oliveira47@ifro.edu.br,IF202140252,2020-06-30,inativo
97923760926,Joao Batista Almeida,1977-06-09,M,joao.almeida48@ifro.edu.br,IF202428600,2019-05-23,ativo
67511253287,Gustavo Santos Araujo,1976-06-06,M,gustavo.araujo49@ifro.edu.br,IF202559626,2020-07-01,inativo
10141561836,Karina Lima Martins,1990-12-31,F,karina.martins50@ifro.edu.br,IF202321502,2025-08-15,ativo
87355706360,Renato Barbosa Correia,1991-11-06,M,renato.correia51@ifro.edu.br,IF202018126,2017-05-23,ativo
55459045440,Diego Pereira Goncalves,2001-09-18,M,diego.goncalves52@ifro.edu.br,IF202124058,2020-06-11,ativo
67272042935,Rafael Cardoso Alves,1989-05-02,M,rafael.alves53@ifro.edu.br,IF202420356,2022-03-03,ativo
61078852611,Mariana Martins Ribeiro,1986-11-18,F,mariana.ribeiro54@ifro.edu.br,IF202122638,2024-01-03,ativo
32679381444,Gustavo Lima Araujo,2000-06-05,M,gustavo.araujo55@ifro.edu.br,IF202244122,2021-06-05,ativo
32493516438,Igor Araujo Ribeiro,1998-08-11,M,igor.ribeiro56@ifro.edu.br,IF202095632,2019-08-06,ativo
73750431039,Carlos Almeida Silva,2001-02-28,M,carlos.silva57@ifro.edu.br,IF202277196,2021-05-03,ativo
01995305520,Olivia Goncalves Alves,1984-02-24,F,olivia.alves58@ifro.edu.br,IF202495412,2019-11-11,ativo
52941307871,Ana Mendes Moura,1993-04-23,F,ana.moura59@ifro.edu.br,IF202582107,2018-02-20,ativo
64644604956,Thiago Ferreira Martins,1993-09-06,M,thiago.martins60@ifro.edu.br,IF202294473,2017-03-16,inativo
06261169572,Diego Vieira Carvalho,1980-10-30,M,diego.carvalho61@ifro.edu.br,IF202428677,2017-03-02,ativo
95822542821,Mariana Ferreira Azevedo,1979-11-18,F,mariana.azevedo62@ifro.edu.br,IF202149533,2021-04-21,ativo
09619239693,Carlos Freitas Mendes,1996-03-19,M,carlos.mendes63@ifro.edu.br,IF202115467,2019-01-20,ativo
51233080516,Samuel Martins Cardoso,2001-11-22,M,samuel.cardoso64@ifro.edu.br,IF202550136,2024-12-31,ativo
66578720097,Juliana Cavalcanti Ribeiro,1995-11-15,F,juliana.ribeiro65@ifro.edu.br,IF202470068,2019-08-22,ativo
12565178800,Paula Vieira Almeida,2003-07-20,F,paula.almeida66@ifro.edu.br,IF202551120,2022-04-12,ativo
86201913274,Queila Ferreira Santos,1982-05-29,F,queila.santos67@ifro.edu.br,IF202118587,2024-09-11,inativo
59472487394,Ursula Alves Martins,2002-08-17,F,ursula.martins68@ifro.edu.br,IF202258793,2023-06-19,ativo
45624180578,Gabriel Vieira Martins,1998-05-23,M,gabriel.martins69@ifro.edu.br,IF202043034,2023-07-04,inativo
46592551732,Vitória Vieira Correia,2002-08-09,F,vitoria.correia70@ifro.edu.br,IF202277647,2024-10-09,ativo
00324966850,Yuri Cavalcanti Mendes,1980-12-03,M,yuri.mendes71@ifro.edu.br,IF202495604,2022-06-24,ativo
54185836949,Carlos Silva Azevedo,1980-12-30,M,carlos.azevedo72@ifro.edu.br,IF202472246,2019-04-17,ativo
71124640085,Bruno Ribeiro Rodrigues,2001-09-04,M,bruno.rodrigues73@ifro.edu.br,IF202474599,2024-08-25,ativo
80623201098,Bruno Oliveira Santos,2004-06-18,M,bruno.santos74@ifro.edu.br,IF202336151,2023-07-26,ativo
92841407806,Vitória Campos Moura,1994-08-03,F,vitoria.moura75@ifro.edu.br,IF202095921,2025-05-11,ativo
30154048684,Igor Almeida Alves,1988-04-05,M,igor.alves76@ifro.edu.br,IF202076509,2024-03-14,ativo
25365936877,Joao Ribeiro Barbosa,1998-10-20,M,joao.barbosa77@ifro.edu.br,IF202067306,2024-10-28,ativo
36991922001,Helena Azevedo Moreira,1979-10-14,F,helena.moreira78@ifro.edu.br,IF202228591,2023-12-23,ativo
01019538161,Ana Oliveira Costa,1986-01-22,F,ana.costa79@ifro.edu.br,IF202014438,2019-04-23,ativo
47121345564,Paulo Machado Ferreira,1975-12-09,M,paulo.ferreira80@ifro.edu.br,IF202216344,2020-12-08,ativo
87490606815,Larissa Mendes Goncalves,1996-01-14,F,larissa.goncalves81@ifro.edu.br,IF202484199,2024-11-26,ativo
26083400571,Daniel Azevedo Batista,1997-01-17,M,daniel.batista82@ifro.edu.br,IF202387667,2024-10-18,ativo
24337211781,Samuel Alves Azevedo,2003-03-03,M,samuel.azevedo83@ifro.edu.br,IF202062595,2022-12-31,ativo
05344688263,Heloisa Ferreira Nunes,1995-09-04,F,heloisa.nunes84@ifro.edu.br,IF202489344,2018-06-04,ativo
82785277493,Larissa Cavalcanti Mendes,1980-08-27,F,larissa.mendes85@ifro.edu.br,IF202541187,2020-09-30,ativo
22359852353,Isabela Moreira Barros,1986-08-09,F,isabela.barros86@ifro.edu.br,IF202196232,2025-03-04,ativo
44643114367,Otavio Rodrigues Rodrigues,1976-07-09,M,otavio.rodrigues87@ifro.edu.br,IF202339157,2017-02-21,ativo
02496036996,Vitória Batista Farias,1985-04-02,F,vitoria.farias88@ifro.edu.br,IF202594107,2024-06-28,inativo
76541636246,Helena Araujo Gomes,1996-08-27,F,helena.gomes89@ifro.edu.br,IF202463653,2022-02-08,ativo
06710483238,Yasmin Araujo Mendes,1990-08-15,F,yasmin.mendes90@ifro.edu.br,IF202380914,2018-02-19,ativo
58567326819,Renato Campos Souza,1990-12-12,M,renato.souza91@ifro.edu.br,IF202245960,2024-02-25,ativo
66594134683,Carlos Silva Pereira,1992-07-31,M,carlos.pereira92@ifro.edu.br,IF202126947,2022-03-08,ativo
78325674827,Carolina Machado Barbosa,1990-11-30,F,carolina.barbosa93@ifro.edu.br,IF202559302,2019-08-02,ativo
04534577691,Nicole Araujo Freitas,2004-07-28,F,nicole.freitas94@ifro.edu.br,IF202260477,2024-08-08,ativo
85900314491,Vitor Mendes Costa,2000-12-12,M,vitor.costa95@ifro.edu.br,IF202169239,2020-07-18,ativo
82991843738,Felipe Carvalho Vieira,1978-07-12,M,felipe.vieira96@ifro.edu.br,IF202525332,2025-04-27,ativo
27780772737,Isabela Moura Rocha,1982-05-21,F,isabela.rocha97@ifro.edu.br,IF202510865,2023-01-19,ativo
74756612500,Mateus Farias Azevedo,2002-05-07,M,mateus.azevedo98@ifro.edu.br,IF202553313,2020-08-08,inativo
72036251557,Daniela Campos Freitas,1998-07-29,F,daniela.freitas99@ifro.edu.br,IF202147244,2023-03-20,inativo
04457658485,Pedro Alves Pinto,1984-02-17,M,pedro.pinto100@ifro.edu.br,IF202053371,2024-05-05,ativo
